articleno,oldarticle,product_description,pro_type,cust_group,size,colour,output,process_description,material_part
AB02-OKE-01-09-Y0-001,AB010-Z,Okeo Roll Up ArmBand MOD Z,Roll Up ArmBand,Okeo,MOD Z,Golden Yellow 23 (X14044P),500,Printing M' size,Top PVC Sheet - Left
AB02-OKE-01-09-Y0-001,AB010-Z,Okeo Roll Up ArmBand MOD Z,Roll Up ArmBand,Okeo,MOD Z,Golden Yellow 23 (X14044P),500,Printing M' size,Top PVC Sheet - Right
AB03-MRU-01-11-O0-001,AB020,Maru Universal Armband 3 TO 12 YRS,Universal Armband,MARU,3 TO 12 YRS,Orange 18,350,Printing M' size,Top PVC Sheet
AB01-KLU-03-12-O0-001,AB040-00-18-11,Klubben Deluxe ArmBand 1 TO 3 YRS,,Klubben,1 TO 3 YRS,Orange 18,500,Printing M' size,Top PVC Sheet
AB01-OKE-01-17-Y0-004,AB052-Y,Okeo Deluxe ArmBand MOD Y,,Okeo,MOD Y,Golden Yellow 23 (X14044P),500,Printing M' size,Top PVC Sheet
AB01-SWL-01-06-O0-007,AB079-0,Swim Sure Deluxe ArmBand 2 TO 6 YRS,,Swim & Leisure,2 TO 6 YRS,Orange 18,350,Printing L' size,Top PVC Sheet
AB01-SWL-01-14-O0-008,AB079-1,Swim Sure Deluxe ArmBand 6 TO 12 YRS,,Swim & Leisure,6 TO 12 YRS,Orange 18,350,Printing L' size,Top PVC Sheet
AB01-IGA-02-28-R0-013,AB083-0-46,Aquarapid AWP Deluxe ArmBand 15 TO 30 KG,,IGA,15 TO 30 KG,Red 46 46,350,Printing M' size,Top PVC Sheet
AB01-IGA-02-28-G0-016,AB083-0-59-59,Aquarapid AWP Deluxe ArmBand 15 TO 30 KG,,IGA,15 TO 30 KG,Green 59 367U,350,Printing M' size,Top PVC Sheet
AB01-IGA-02-23-B9-017,AB083-1-72-72,Aquarapid AWP Deluxe ArmBand  30 TO 60 KG,,IGA,30 TO 60 KG,Navy Blue 72 55204,350,Printing M' size,Top PVC Sheet
AB01-KLU-02-13-R0-019,AB092-0-46-11,Jorekstad Deluxe ArmBand 3 TO 6 YRS,,Klubben,3 TO 6 YRS,Red 46 46,500,Printing M' size,Top PVC Sheet
AB06-QPI-03-36-Y0-001,AB094-0,Jojo Shaped Armband UP TO  2 YRS,Shaped Armband,QPI,UP TO  2 YRS,Golden Yellow 23 (X14044P),500,Printing M' size,Top PVC Sheet
AB06-QPI-03-06-Y0-002,AB094-1,Jojo Shaped Armband 2 TO 6 YRS,Shaped Armband,QPI,2 TO 6 YRS,Golden Yellow 23 (X14044P),500,Printing M' size,Top PVC Sheet
AB01-VAL-01-14-O0-020,AB140-1,Golfinho Deluxe ArmBand 6 TO 12 YRS,,Valter,6 TO 12 YRS,Orange 18,375,Printing L' size,Top PVC Sheet
,,,,,,,,,
,,,,,,,,,
